frame_number,timestamp,left_foot_strike,right_foot_strike,forward_lean,head_forward
117,3.9,midfoot,midfoot,3.980087033509684,45.0
118,3.933333333333333,midfoot,midfoot,3.980087033509684,45.0
119,3.966666666666667,midfoot,midfoot,5.374596018767471,45.0
120,4.0,midfoot,midfoot,6.002605450435811,45.0
121,4.033333333333333,midfoot,midfoot,6.900970953321408,45.0
122,4.066666666666666,midfoot,midfoot,7.834391432903749,45.0
123,4.1,midfoot,midfoot,8.206371245741405,45.0
124,4.133333333333334,midfoot,midfoot,9.184363459724674,45.0
125,4.166666666666667,midfoot,midfoot,10.58866558655047,45.0
126,4.2,midfoot,midfoot,10.609127778773775,45.0
127,4.233333333333333,midfoot,midfoot,11.258461429603752,45.0
128,4.266666666666667,midfoot,midfoot,11.258461429603752,45.0
129,4.3,midfoot,midfoot,11.258461429603752,45.0
130,4.333333333333333,midfoot,midfoot,10.798839003159236,45.0
131,4.366666666666666,midfoot,midfoot,10.798839003159236,45.0
132,4.4,midfoot,midfoot,10.798839003159236,45.0
133,4.433333333333334,midfoot,midfoot,11.005705508372554,45.0
134,4.466666666666667,midfoot,midfoot,11.94588753126156,45.0
135,4.5,midfoot,midfoot,11.94588753126156,45.0
136,4.533333333333333,midfoot,midfoot,11.94588753126156,45.0
137,4.566666666666666,midfoot,midfoot,10.934749470741137,45.0
138,4.6,midfoot,midfoot,6.278130080058932,45.0
139,4.633333333333334,midfoot,midfoot,6.278130080058932,45.0
140,4.666666666666667,midfoot,midfoot,6.278130080058932,45.0
141,4.7,midfoot,midfoot,7.669069766444627,45.0
142,4.733333333333333,midfoot,midfoot,10.47640601560811,45.0
143,4.766666666666667,midfoot,midfoot,14.1960503497988,45.0
144,4.8,midfoot,midfoot,17.92909854366604,45.0
145,4.833333333333333,midfoot,midfoot,17.92909854366604,45.0
146,4.866666666666666,midfoot,midfoot,18.55206699197975,45.0
147,4.9,midfoot,midfoot,18.55206699197975,45.0
148,4.933333333333334,midfoot,midfoot,17.92909854366604,45.0
149,4.966666666666667,midfoot,midfoot,17.92909854366604,45.0
150,5.0,midfoot,midfoot,17.511789970973403,45.0
151,5.033333333333333,midfoot,midfoot,17.234223240192293,45.0
152,5.066666666666666,midfoot,midfoot,14.919591382525132,45.0
153,5.1,midfoot,midfoot,11.136555024102517,45.0
154,5.133333333333334,midfoot,midfoot,8.250937091154636,45.0
155,5.166666666666667,midfoot,midfoot,6.82159454923844,45.0
156,5.2,midfoot,midfoot,6.255560108187961,45.0
157,5.233333333333333,midfoot,midfoot,5.599400229798061,45.0
158,5.266666666666667,midfoot,midfoot,5.599400229798061,45.0
159,5.3,midfoot,midfoot,5.599400229798061,45.0
160,5.333333333333333,midfoot,midfoot,8.113920310673064,45.0
161,5.366666666666666,midfoot,midfoot,9.961894395873406,45.0
162,5.4,midfoot,midfoot,9.961894395873406,45.0
163,5.433333333333334,midfoot,midfoot,9.961894395873406,45.0
164,5.466666666666667,midfoot,midfoot,13.437539659457343,45.0
165,5.5,midfoot,midfoot,14.404731246596867,45.0
166,5.533333333333333,midfoot,midfoot,15.144394055588018,45.0
167,5.566666666666666,midfoot,heel,16.661966841278392,45.0
168,5.6,midfoot,midfoot,16.661966841278392,45.0
169,5.633333333333334,midfoot,midfoot,16.661966841278392,45.0
170,5.666666666666667,midfoot,midfoot,12.965385580877243,45.0
171,5.7,midfoot,midfoot,12.008174361749992,45.0
172,5.733333333333333,midfoot,heel,6.746816013386035,45.0
173,5.766666666666667,midfoot,heel,3.6657403560142905,45.0
