frame_number,timestamp,left_foot_strike,right_foot_strike,forward_lean,head_forward
0,0.0,midfoot,midfoot,1.3949078582947128,37.20480613601513
1,0.03333333333333333,unknown,unknown,0.0,0.0
2,0.06666666666666667,heel,heel,0.6135740671386645,8.720125682392995
3,0.1,heel,heel,0.2979989974294499,15.110991832630134
4,0.13333333333333333,heel,heel,0.7146297698455839,19.308606234095645
5,0.16666666666666666,heel,heel,2.19915609691947,24.187846948246893
6,0.2,heel,heel,4.260267633628936,24.89525156007579
7,0.23333333333333334,heel,heel,4.7237566222020915,25.626014261233344
8,0.26666666666666666,heel,heel,6.199897379493791,20.24877363411949
9,0.3,heel,heel,6.36590287768627,16.239972969981515
10,0.3333333333333333,heel,heel,5.8347906503566005,14.802677089989922
11,0.36666666666666664,heel,heel,4.4594970390163065,12.936829377625081
12,0.4,heel,heel,4.48665462400209,12.07253563033141
13,0.43333333333333335,heel,heel,4.386239663090891,11.822859874008328
14,0.4666666666666667,heel,heel,4.122949542244453,7.3436350029986235
15,0.5,heel,heel,4.016477092646656,0.31167665600321454
16,0.5333333333333333,heel,heel,3.575571267764476,5.673143302644778
17,0.5666666666666667,heel,heel,2.6894480351823002,11.129799418019346
18,0.6,heel,heel,1.1229462872305127,12.54547360856024
19,0.6333333333333333,heel,heel,1.032304901531601,13.423949392969462
20,0.6666666666666666,heel,heel,2.672306430903041,12.762376658674327
21,0.7,heel,heel,5.01056947982089,9.465104696061974
22,0.7333333333333333,heel,heel,5.431374834943862,7.308819765651542
23,0.7666666666666667,heel,heel,6.285102475727141,5.6529556790050774
24,0.8,heel,heel,6.269418971281371,1.5024924122908858
25,0.8333333333333334,heel,heel,5.712890489377394,5.77823804758695
26,0.8666666666666667,heel,heel,4.869328478944201,6.378445787107741
27,0.9,heel,heel,3.9538416778583185,9.771530687693652
28,0.9333333333333333,heel,heel,2.256055422371573,11.97828765629595
29,0.9666666666666667,heel,heel,1.0112749675197257,17.92701290707391
30,1.0,heel,heel,1.0005882150662189,22.03205214500088
31,1.0333333333333334,heel,heel,1.224596098333598,24.08850264523004
32,1.0666666666666667,heel,heel,2.0524815490170614,22.599712621285036
33,1.1,heel,heel,2.3937624475522674,21.7099099462076
34,1.1333333333333333,heel,heel,2.61940009683395,19.528661505401395
35,1.1666666666666667,heel,heel,3.171688472495095,18.817601291225586
36,1.2,heel,heel,3.773726769038216,14.793195853900578
37,1.2333333333333334,heel,heel,3.9989303033010923,7.059508485662751
38,1.2666666666666666,heel,heel,3.6648123442172094,2.0723392310913775
39,1.3,heel,heel,3.8903307398586584,3.141537922127021
40,1.3333333333333333,heel,heel,2.6745696969206745,9.065026822881457
41,1.3666666666666667,heel,heel,1.0902931279418429,11.580834347105279
42,1.4,heel,heel,1.324739380435656,12.928581211443914
43,1.4333333333333333,heel,heel,3.7724788407307948,13.280450420512425
44,1.4666666666666666,heel,heel,4.746596021452568,17.06030722785143
45,1.5,heel,heel,4.788042139159996,17.6211992408811
46,1.5333333333333334,heel,heel,4.642138683328963,14.606385325022169
47,1.5666666666666667,heel,heel,4.686955331518661,10.431086579455869
48,1.6,heel,heel,4.281408054794676,8.484978677877775
49,1.6333333333333333,heel,heel,3.076483768347836,5.848130270654178
50,1.6666666666666667,heel,heel,2.1755477001784396,2.8575455285296516
51,1.7,heel,heel,1.1071476765499277,13.377183445733763
52,1.7333333333333334,heel,heel,0.19617674437425128,20.41091532626041
53,1.7666666666666666,heel,heel,1.1202653093717838,27.72560103799942
54,1.8,heel,heel,3.327864645968369,35.06825331892453
55,1.8333333333333333,heel,heel,4.69351609883909,37.81178740913124
56,1.8666666666666667,heel,heel,5.947539174488621,29.732247350813033
57,1.9,heel,heel,6.077936741218159,28.58519030646753
58,1.9333333333333333,heel,heel,5.856477361291068,27.141139467332266
59,1.9666666666666666,heel,heel,5.838753523105258,25.323632678040134
60,2.0,heel,heel,5.145629678529593,23.111441464495037
61,2.033333333333333,heel,heel,5.791481233644432,18.936133253978404
62,2.066666666666667,heel,heel,6.332100603818241,13.829421106814758
63,2.1,heel,heel,5.871643586762021,2.1033701828498566
64,2.1333333333333333,heel,heel,4.260527184866132,6.41731215566136
65,2.1666666666666665,heel,heel,2.7506692588119157,7.595577556916241
66,2.2,heel,heel,1.7972110341669996,8.600408551885343
67,2.2333333333333334,heel,heel,0.03922207930615785,8.743520932308218
68,2.2666666666666666,heel,heel,1.8680421994845107,5.557973452633844
69,2.3,heel,heel,2.637099028604638,2.4062999624709684
70,2.3333333333333335,heel,heel,3.1058155037221913,0.30472788052457084
71,2.3666666666666667,heel,heel,4.213898959348895,2.1402214870311247
72,2.4,heel,heel,4.241316199604227,5.873984998302139
73,2.433333333333333,heel,heel,3.2993495726114994,7.925411880711662
74,2.466666666666667,heel,heel,2.735105283975104,11.392220906992174
75,2.5,heel,heel,1.8835607003279402,13.718598603008413
76,2.533333333333333,heel,heel,0.3056835914711355,19.51064190478618
77,2.566666666666667,heel,heel,1.5266394921011446,21.45237064406167
78,2.6,heel,heel,2.9623542236372207,24.570808875964794
79,2.6333333333333333,heel,heel,4.037978847415901,25.16647102637097
80,2.6666666666666665,heel,heel,4.512556138406159,23.007515863418902
81,2.7,heel,heel,4.804145947532482,21.234777027574832
82,2.7333333333333334,heel,heel,5.1676349970492685,18.476638941788295
83,2.7666666666666666,heel,heel,5.253701877381846,17.425271416482015
84,2.8,heel,heel,5.657616300748953,18.369398884549028
85,2.8333333333333335,heel,heel,5.4048115474674505,14.801145357216082
86,2.8666666666666667,heel,heel,4.941239107107939,8.404489081469048
87,2.9,heel,heel,4.768976466075489,2.196979442705861
88,2.933333333333333,heel,heel,4.1927480552225065,2.216372862973075
89,2.966666666666667,heel,heel,2.6669218917229305,6.989253371192946
90,3.0,heel,heel,0.8000284563107948,7.371446855420951
91,3.033333333333333,heel,heel,0.60102176487809,5.792403117180423
92,3.066666666666667,heel,heel,1.6445880654653793,7.324712447448184
93,3.1,heel,heel,2.15155890748578,7.744574339440468
94,3.1333333333333333,heel,heel,2.4867585739461266,3.78366436264789
95,3.1666666666666665,heel,heel,2.5241240869326074,2.624324383692312
96,3.2,heel,heel,2.231086183029012,2.0660409653344343
97,3.2333333333333334,heel,heel,1.2497297558458238,4.963844456795117
98,3.2666666666666666,heel,heel,0.8236871453765953,13.470268780431226
99,3.3,heel,heel,1.998869550889476,20.17792647495321
100,3.3333333333333335,heel,heel,3.233717630578726,24.56428830459051
